店名,住所,台数
ライフ香里園,大阪府寝屋川市香里新町２８−３−１　玩具売場,0台
フレンドマート東寝屋川,大阪府寝屋川市打上中町９−５　玩具売場,0台
ハローズガーデン鳳,大阪府堺市西区鳳南町３−１９９−１２アリオ鳳店３Ｆ,0台
ハローズガーデン津久野,大阪府堺市西区下田町２０−１イトーヨーカドー津久野店２Ｆ,0台
イトウゴフク高槻西冠,大阪府高槻市西冠３町目２９−７（関西スーパー内）,0台
イエローサブマリンなんば３号店,大阪府大阪市浪速区難波中２−１−３川合ビル,0台
キデイランド大阪梅田,大阪府大阪市北区芝田１−１−３阪急三番街,0台
宝島　日根野,大阪府泉佐野市日根野２４９６−１イオンモール日根野店２Ｆ,0台
ＭＥＧＡドン・キホーテ新世界,大阪府大阪市浪速区恵比寿東３−４−３６,0台
タイトーステーション　梅三小路店,大阪府大阪市北区梅田３丁目２-１３６大阪ステーションシティ,0台
タイトーステーション梅三小路,大阪府大阪市北区梅田３丁目２−１３６,0台
ライフ新深江,大阪府大阪市東成区神路４−７−１９,0台
